Time,USS_FLS,USS_FL,USS_FLM,USS_FRM,USS_FR,USS_FRS,USS_RRS,USS_RR,USS_RRM,USS_RLM,USS_RL,USS_RLS
C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1
s,m,m,m,m,m,m,m,m,m,m,m,m
115.231,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.241,5,2.5,2.5,2.5,2.5,5,0.915337741,1.086987495,2.5,2.5,2.5,2.5
115.251,5,2.5,2.5,2.5,2.5,5,0.915337741,1.086987495,2.5,2.5,2.5,2.5
115.261,5,2.5,2.5,2.5,2.5,5,0.915337741,1.086987495,2.5,2.5,2.5,2.5
115.271,5,2.5,2.5,2.5,2.5,5,0.915337741,1.086987495,2.5,2.5,2.5,2.5
115.281,5,2.5,2.5,2.5,2.5,5,0.915337741,1.086987495,2.5,2.5,2.5,2.5
115.291,5,2.5,2.5,2.5,2.5,5,0.915337741,1.086987495,2.5,2.5,2.5,2.5
115.301,5,2.5,2.5,2.5,2.5,5,0.915337741,1.086987495,2.5,2.5,2.5,2.5
115.311,5,2.5,2.5,2.5,2.5,5,0.915337741,1.086987495,2.5,2.5,2.5,2.5
115.321,5,2.5,2.5,2.5,2.5,5,0.915337741,1.086987495,2.5,2.5,2.5,2.5
115.331,5,2.5,2.5,2.5,2.5,5,0.915337741,1.086987495,2.5,2.5,2.5,2.5
115.341,5,2.5,2.5,2.5,2.5,5,0.915337741,1.086987495,2.5,2.5,2.5,2.5
115.351,5,2.5,2.5,2.5,2.5,5,0.915337741,1.086987495,2.5,2.5,2.5,2.5
115.361,5,2.5,2.5,2.5,2.5,5,0.915337741,1.086987495,2.5,2.5,2.5,2.5
115.371,5,2.5,2.5,2.5,2.5,5,0.915337741,1.086987495,2.5,2.5,2.5,2.5
115.381,5,2.5,2.5,2.5,2.5,5,0.915337741,1.086987495,2.5,2.5,2.5,2.5
115.391,5,2.5,2.5,2.5,2.5,5,0.915337741,1.086987495,2.5,2.5,2.5,2.5
115.401,5,2.5,2.5,2.5,2.5,5,0.915337741,1.086987495,2.5,2.5,2.5,2.5
115.411,5,2.5,2.5,2.5,2.5,5,0.915337741,1.086987495,2.5,2.5,2.5,2.5
115.421,5,2.5,2.5,2.5,2.5,5,0.915337741,1.086987495,2.5,2.5,2.5,2.5
115.431,5,2.5,2.5,2.5,2.5,5,0.915337741,1.086987495,2.5,2.5,2.5,2.5
115.441,5,2.5,2.5,2.5,2.5,5,0.915337741,1.086987495,2.5,2.5,2.5,2.5
115.451,5,2.5,2.5,2.5,2.5,5,0.915337741,1.086987495,2.5,2.5,2.5,2.5
115.461,5,2.5,2.5,2.5,2.5,5,0.915337741,1.086987495,2.5,2.5,2.5,2.5
115.471,5,2.5,2.5,2.5,2.5,5,0.915337741,1.086987495,2.5,2.5,2.5,2.5
115.481,5,2.5,2.5,2.5,2.5,5,0.915337741,1.086987495,2.5,2.5,2.5,2.5
115.491,5,2.5,2.5,2.5,2.5,5,0.915337741,1.086987495,2.5,2.5,2.5,2.5
115.501,5,2.5,2.5,2.5,2.5,5,0.915337741,1.086987495,2.5,2.5,2.5,2.5
115.511,5,2.5,2.5,2.5,2.5,5,0.915337741,1.086987495,2.5,2.5,2.5,2.5
115.521,5,2.5,2.5,2.5,2.5,5,0.915337741,1.086987495,2.5,2.5,2.5,2.5
